C/A,Unit,Scp,Station,Linename,Division,Date,Time,Desc,Entries,Exits,On_N_Line,Dayofweek,NewCol
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-26,00:00:00,REGULAR,5473508,6353656,True,6,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-26,04:00:00,REGULAR,5473521,6353660,True,6,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-26,08:00:00,REGULAR,5473534,6353694,True,6,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-26,12:00:00,REGULAR,5473596,6353808,True,6,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-26,16:00:00,REGULAR,5473752,6353908,True,6,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-26,20:00:00,REGULAR,5473947,6354019,True,6,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-27,00:00:00,REGULAR,5474047,6354077,True,0,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-27,04:00:00,REGULAR,5474051,6354085,True,0,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-27,08:00:00,REGULAR,5474090,6354302,True,0,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-27,12:00:00,REGULAR,5474306,6354704,True,0,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-27,16:00:00,REGULAR,5474523,6354829,True,0,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-27,20:00:00,REGULAR,5475040,6355015,True,0,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-28,00:00:00,REGULAR,5475185,6355065,True,1,
A002,R051,02-03-03,59 ST,NQR456W,BMT,2018-08-28,04:00:00,REGULAR,5475193,6355069,True,1,
